ADANIENT,Adani Enterprises
ADANIPORTS,Adani Ports and Special Economic Zone
APOLLOHOSP,Apollo Hospitals Enterprise
ASIANPAINT,Asian Paints
AXISBANK,Axis Bank
BAJAJ-AUTO,Bajaj Auto
BAJAJFINSV,Bajaj Finserv
BAJFINANCE,Bajaj Finance
BHARTIARTL,Bharti Airtel
BPCL,Bharat Petroleum Corporation Limited
BRITANNIA,Britannia Industries
CIPLA,Cipla
COALINDIA,Coal India
DIVISLAB,Divi's Laboratories
DRREDDY,Dr. Reddy's Laboratories
EICHERMOT,Eicher Motors
GRASIM,Grasim Industries
HCLTECH,HCL Technologies
HDFC,Housing Development Finance Corporation
HDFCBANK,HDFC Bank
HDFCLIFE,HDFC Life Insurance Company
HEROMOTOCO,Hero MotoCorp
HINDALCO,Hindalco Industries
HINDUNILVR,Hindustan Unilever
ICICIBANK,ICICI Bank
INDUSINDBK,IndusInd Bank
INFY,Infosys
ITC,ITC Limited
JSWSTEEL,JSW Steel
KOTAKBANK,Kotak Mahindra Bank
LT,Larsen & Toubro
M&M,Mahindra & Mahindra
MARUTI,Maruti Suzuki
NESTLEIND,Nestle India
NTPC,NTPC Limited
ONGC,Oil and Natural Gas Corporation
POWERGRID,Power Grid Corporation of India
RELIANCE,Reliance Industries
SBILIFE,SBI Life Insurance Company
SBIN,State Bank of India
SUNPHARMA,Sun Pharmaceutical Industries
TATACONSUM,Tata Consumer Products
TATAMOTORS,Tata Motors
TATASTEEL,Tata Steel
TECHM,Tech Mahindra
TITAN,Titan Company
ULTRACEMCO,UltraTech Cement
UPL,UPL Limited
WIPRO,Wipro
